Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
42,Humana,Health Insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
50,Tesla,Automotive and Energy,"81,462",51.4%,"127,855","Austin, Texas"
51,Procter & Gamble,Consumer products Manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
57,Sysco,Food Service,"68,636",33.8%,"70,510","Houston, Texas"
58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
61,StoneX Group,Financials,"66,036",55.3%,305,"New York City, New York"
62,Lockheed Martin,Aerospace and Defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
67,IBM,Technology and Cloud Computing,"60,530",16.3%,"303,100","Armonk, New York"
68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
72,World Fuel Services,Petroleum industry and Logistics,"59,043",88.4%,"5,214","Miami, Florida"
73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
82,Tyson Foods,Food Processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
84,Cisco,Telecom Hardware Manufacturing,"51,557",3.5%,"83,300","San Jose, California"
85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
93,Performance Food Group,Food Processing,"47,194",61.6%,"34,825","Richmond, Virginia"
94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
<built-in method strip of str object at 0x00000230855C88B0>,<built-in method strip of str object at 0x00000230855CB130>,<built-in method strip of str object at 0x00000230855CACF0>,<built-in method strip of str object at 0x00000230855CA3F0>,<built-in method strip of str object at 0x00000230855CBE70>,<built-in method strip of str object at 0x00000230855CA6B0>,<built-in method strip of str object at 0x00000230855F3FA0>
<built-in method strip of str object at 0x0000023082D1D0B0>,<built-in method strip of str object at 0x00000230855A1B70>,<built-in method strip of str object at 0x00000230855F3A50>,<built-in method strip of str object at 0x00000230855CB670>,<built-in method strip of str object at 0x00000230855CB930>,<built-in method strip of str object at 0x00000230855CA970>,<built-in method strip of str object at 0x00000230855F2970>
<built-in method strip of str object at 0x00000230855A2130>,<built-in method strip of str object at 0x00000230855DCBF0>,<built-in method strip of str object at 0x00000230855F2E70>,<built-in method strip of str object at 0x00000230855DDC70>,<built-in method strip of str object at 0x00000230855DC0B0>,<built-in method strip of str object at 0x00000230855DDCF0>,<built-in method strip of str object at 0x00000230855DC870>
<built-in method strip of str object at 0x00000230855E5C70>,<built-in method strip of str object at 0x00000230855E4EF0>,<built-in method strip of str object at 0x00000230855F3EB0>,<built-in method strip of str object at 0x00000230855E5DF0>,<built-in method strip of str object at 0x00000230855E45B0>,<built-in method strip of str object at 0x00000230855CA070>,<built-in method strip of str object at 0x00000230855F30A0>
<built-in method strip of str object at 0x00000230855E7B30>,<built-in method strip of str object at 0x00000230855F3B40>,<built-in method strip of str object at 0x00000230855E6FF0>,<built-in method strip of str object at 0x00000230855CB270>,<built-in method strip of str object at 0x00000230855C9DB0>,<built-in method strip of str object at 0x00000230855CB5B0>,<built-in method strip of str object at 0x00000230855F3320>
<built-in method strip of str object at 0x00000230855E4870>,<built-in method strip of str object at 0x00000230855CB8F0>,<built-in method strip of str object at 0x00000230855CAF30>,<built-in method strip of str object at 0x00000230855C91F0>,<built-in method strip of str object at 0x00000230855C9AB0>,<built-in method strip of str object at 0x00000230855CB430>,<built-in method strip of str object at 0x00000230855F2420>
<built-in method strip of str object at 0x00000230855C9C30>,<built-in method strip of str object at 0x00000230855F35A0>,<built-in method strip of str object at 0x00000230855CA8F0>,<built-in method strip of str object at 0x00000230855CBBF0>,<built-in method strip of str object at 0x00000230855CAB30>,<built-in method strip of str object at 0x00000230855C98F0>,<built-in method strip of str object at 0x00000230855F33C0>
<built-in method strip of str object at 0x00000230855C86B0>,<built-in method strip of str object at 0x00000230855CB2B0>,<built-in method strip of str object at 0x00000230855FC3F0>,<built-in method strip of str object at 0x00000230855C96F0>,<built-in method strip of str object at 0x00000230855C8170>,<built-in method strip of str object at 0x00000230855C9470>,<built-in method strip of str object at 0x00000230855FCB20>
<built-in method strip of str object at 0x00000230855CB3F0>,<built-in method strip of str object at 0x00000230855FCC10>,<built-in method strip of str object at 0x00000230855CAA30>,<built-in method strip of str object at 0x00000230855C9070>,<built-in method strip of str object at 0x00000230855CA8B0>,<built-in method strip of str object at 0x00000230855DDE30>,<built-in method strip of str object at 0x00000230855DE9F0>
<built-in method strip of str object at 0x00000230855CA0F0>,<built-in method strip of str object at 0x00000230855FCEE0>,<built-in method strip of str object at 0x00000230855FCFD0>,<built-in method strip of str object at 0x00000230855CBEB0>,<built-in method strip of str object at 0x00000230855C8B30>,<built-in method strip of str object at 0x00000230855DC3F0>,<built-in method strip of str object at 0x00000230855FD1B0>
<built-in method strip of str object at 0x00000230855CB230>,<built-in method strip of str object at 0x00000230855FD2A0>,<built-in method strip of str object at 0x00000230855FD660>,<built-in method strip of str object at 0x00000230855DC4F0>,<built-in method strip of str object at 0x00000230855DF430>,<built-in method strip of str object at 0x00000230855DD1F0>,<built-in method strip of str object at 0x00000230855FD480>
<built-in method strip of str object at 0x00000230855DD5B0>,<built-in method strip of str object at 0x00000230855DDDB0>,<built-in method strip of str object at 0x00000230855DC730>,<built-in method strip of str object at 0x00000230855DF2F0>,<built-in method strip of str object at 0x00000230855DCA70>,<built-in method strip of str object at 0x00000230855DC8F0>,<built-in method strip of str object at 0x00000230855FC3A0>
<built-in method strip of str object at 0x00000230855DCB70>,<built-in method strip of str object at 0x00000230855DD0B0>,<built-in method strip of str object at 0x00000230855FD890>,<built-in method strip of str object at 0x00000230855DCC70>,<built-in method strip of str object at 0x00000230855DE6B0>,<built-in method strip of str object at 0x00000230855DDEB0>,<built-in method strip of str object at 0x00000230855FDB10>
<built-in method strip of str object at 0x00000230855DCF30>,<built-in method strip of str object at 0x00000230855FDC00>,<built-in method strip of str object at 0x00000230855DF970>,<built-in method strip of str object at 0x00000230855DCDB0>,<built-in method strip of str object at 0x00000230855DD4B0>,<built-in method strip of str object at 0x00000230855DC2B0>,<built-in method strip of str object at 0x00000230855DD470>
<built-in method strip of str object at 0x00000230855DC270>,<built-in method strip of str object at 0x00000230855DD870>,<built-in method strip of str object at 0x00000230855FDED0>,<built-in method strip of str object at 0x00000230855DE470>,<built-in method strip of str object at 0x00000230855DF6B0>,<built-in method strip of str object at 0x00000230855E93B0>,<built-in method strip of str object at 0x00000230855FE100>
<built-in method strip of str object at 0x00000230855DC330>,<built-in method strip of str object at 0x00000230855FE1F0>,<built-in method strip of str object at 0x00000230855FE2E0>,<built-in method strip of str object at 0x00000230855EA030>,<built-in method strip of str object at 0x00000230855EB370>,<built-in method strip of str object at 0x00000230855EBAF0>,<built-in method strip of str object at 0x00000230855E8A30>
<built-in method strip of str object at 0x00000230855E9070>,<built-in method strip of str object at 0x00000230855EB2B0>,<built-in method strip of str object at 0x00000230855FE510>,<built-in method strip of str object at 0x00000230855E8470>,<built-in method strip of str object at 0x00000230855E9BB0>,<built-in method strip of str object at 0x00000230855E9D30>,<built-in method strip of str object at 0x00000230855E8070>
<built-in method strip of str object at 0x00000230855EA7B0>,<built-in method strip of str object at 0x00000230855E80F0>,<built-in method strip of str object at 0x00000230855FE7E0>,<built-in method strip of str object at 0x00000230855EB2F0>,<built-in method strip of str object at 0x00000230855E9230>,<built-in method strip of str object at 0x00000230855E9E30>,<built-in method strip of str object at 0x00000230855FEA10>
<built-in method strip of str object at 0x00000230855EB930>,<built-in method strip of str object at 0x00000230855FEB00>,<built-in method strip of str object at 0x00000230855FEBF0>,<built-in method strip of str object at 0x00000230855E8EB0>,<built-in method strip of str object at 0x00000230855EA430>,<built-in method strip of str object at 0x00000230855E82F0>,<built-in method strip of str object at 0x00000230855FED30>
<built-in method strip of str object at 0x00000230855EBE30>,<built-in method strip of str object at 0x00000230855EB5F0>,<built-in method strip of str object at 0x00000230855EB1B0>,<built-in method strip of str object at 0x00000230855E89F0>,<built-in method strip of str object at 0x00000230855EAB70>,<built-in method strip of str object at 0x00000230855EBAB0>,<built-in method strip of str object at 0x00000230855FD980>
<built-in method strip of str object at 0x00000230855EAC30>,<built-in method strip of str object at 0x00000230855E99F0>,<built-in method strip of str object at 0x00000230855FF0F0>,<built-in method strip of str object at 0x00000230855E8330>,<built-in method strip of str object at 0x00000230855E80B0>,<built-in method strip of str object at 0x00000230855EA1B0>,<built-in method strip of str object at 0x00000230855FF370>
<built-in method strip of str object at 0x00000230855EADB0>,<built-in method strip of str object at 0x00000230855FF460>,<built-in method strip of str object at 0x00000230855EAAB0>,<built-in method strip of str object at 0x00000230855E9570>,<built-in method strip of str object at 0x00000230855E9330>,<built-in method strip of str object at 0x00000230855E9170>,<built-in method strip of str object at 0x00000230855FF640>
<built-in method strip of str object at 0x00000230855EBA70>,<built-in method strip of str object at 0x00000230855E8930>,<built-in method strip of str object at 0x00000230855FF780>,<built-in method strip of str object at 0x00000230855EA630>,<built-in method strip of str object at 0x00000230855EBDB0>,<built-in method strip of str object at 0x00000230855EBC70>,<built-in method strip of str object at 0x00000230855FF960>
<built-in method strip of str object at 0x00000230855EA330>,<built-in method strip of str object at 0x00000230855E9CF0>,<built-in method strip of str object at 0x00000230855E86F0>,<built-in method strip of str object at 0x00000230855E9DB0>,<built-in method strip of str object at 0x00000230855EBA30>,<built-in method strip of str object at 0x00000230855E9670>,<built-in method strip of str object at 0x00000230855FE6A0>
<built-in method strip of str object at 0x00000230855EB030>,<built-in method strip of str object at 0x00000230855EA070>,<built-in method strip of str object at 0x00000230855EB9F0>,<built-in method strip of str object at 0x00000230855EB570>,<built-in method strip of str object at 0x00000230855EBB70>,<built-in method strip of str object at 0x00000230855E9B70>,<built-in method strip of str object at 0x00000230855FF5A0>
<built-in method strip of str object at 0x00000230855EB870>,<built-in method strip of str object at 0x00000230855FEF10>,<built-in method strip of str object at 0x00000230855FF8C0>,<built-in method strip of str object at 0x00000230855EBCF0>,<built-in method strip of str object at 0x00000230855E9EF0>,<built-in method strip of str object at 0x00000230855EBFB0>,<built-in method strip of str object at 0x00000230855FFC30>
<built-in method strip of str object at 0x00000230855EA5B0>,<built-in method strip of str object at 0x00000230855FFBE0>,<built-in method strip of str object at 0x00000230855FFB90>,<built-in method strip of str object at 0x00000230855E8830>,<built-in method strip of str object at 0x00000230855EBD70>,<built-in method strip of str object at 0x00000230855EA970>,<built-in method strip of str object at 0x00000230855FEFB0>
<built-in method strip of str object at 0x00000230855EAEB0>,<built-in method strip of str object at 0x00000230855EB530>,<built-in method strip of str object at 0x00000230855EB4B0>,<built-in method strip of str object at 0x00000230855EABF0>,<built-in method strip of str object at 0x00000230855EA9F0>,<built-in method strip of str object at 0x00000230855E9B30>,<built-in method strip of str object at 0x00000230855CC080>
<built-in method strip of str object at 0x00000230855EB070>,<built-in method strip of str object at 0x00000230855EAEF0>,<built-in method strip of str object at 0x00000230855CC9E0>,<built-in method strip of str object at 0x00000230855E9970>,<built-in method strip of str object at 0x00000230855EAF30>,<built-in method strip of str object at 0x00000230855EB6B0>,<built-in method strip of str object at 0x00000230855CCC60>
<built-in method strip of str object at 0x00000230855E8430>,<built-in method strip of str object at 0x00000230855E8DB0>,<built-in method strip of str object at 0x0000023085581050>,<built-in method strip of str object at 0x00000230855E9770>,<built-in method strip of str object at 0x00000230855E9BF0>,<built-in method strip of str object at 0x00000230855E8130>,<built-in method strip of str object at 0x00000230855E9030>
<built-in method strip of str object at 0x00000230855EB330>,<built-in method strip of str object at 0x00000230855E8AF0>,<built-in method strip of str object at 0x00000230855E86B0>,<built-in method strip of str object at 0x00000230855EBF30>,<built-in method strip of str object at 0x00000230855E8A70>,<built-in method strip of str object at 0x00000230855E85B0>,<built-in method strip of str object at 0x00000230855CC0D0>
<built-in method strip of str object at 0x00000230855EB8B0>,<built-in method strip of str object at 0x00000230855CD2F0>,<built-in method strip of str object at 0x00000230855EA1F0>,<built-in method strip of str object at 0x00000230855EB5B0>,<built-in method strip of str object at 0x00000230855E9C70>,<built-in method strip of str object at 0x00000230855EA570>,<built-in method strip of str object at 0x00000230855CD4D0>
<built-in method strip of str object at 0x00000230855E84F0>,<built-in method strip of str object at 0x00000230855CD5C0>,<built-in method strip of str object at 0x00000230855EB230>,<built-in method strip of str object at 0x00000230855EBE70>,<built-in method strip of str object at 0x00000230855EA5F0>,<built-in method strip of str object at 0x00000230855EA4B0>,<built-in method strip of str object at 0x00000230855CD7A0>
<built-in method strip of str object at 0x00000230855E9AB0>,<built-in method strip of str object at 0x00000230855CD890>,<built-in method strip of str object at 0x00000230855EA870>,<built-in method strip of str object at 0x00000230855E8FF0>,<built-in method strip of str object at 0x00000230855F4FF0>,<built-in method strip of str object at 0x00000230855F4FB0>,<built-in method strip of str object at 0x00000230855CDAC0>
<built-in method strip of str object at 0x00000230855E8270>,<built-in method strip of str object at 0x00000230855CDBB0>,<built-in method strip of str object at 0x00000230855F4EB0>,<built-in method strip of str object at 0x00000230855F4070>,<built-in method strip of str object at 0x00000230855F66B0>,<built-in method strip of str object at 0x00000230855F4F30>,<built-in method strip of str object at 0x00000230855CDDE0>
<built-in method strip of str object at 0x00000230855F4670>,<built-in method strip of str object at 0x00000230855F4B30>,<built-in method strip of str object at 0x00000230855F67F0>,<built-in method strip of str object at 0x00000230855F49B0>,<built-in method strip of str object at 0x00000230855F52F0>,<built-in method strip of str object at 0x00000230855F5FB0>,<built-in method strip of str object at 0x00000230855CD700>
<built-in method strip of str object at 0x00000230855F53B0>,<built-in method strip of str object at 0x00000230855CE1A0>,<built-in method strip of str object at 0x00000230855F4BB0>,<built-in method strip of str object at 0x00000230855F6A70>,<built-in method strip of str object at 0x00000230855F4930>,<built-in method strip of str object at 0x00000230855F4C70>,<built-in method strip of str object at 0x00000230855CE420>
<built-in method strip of str object at 0x00000230855F6070>,<built-in method strip of str object at 0x00000230855F59F0>,<built-in method strip of str object at 0x00000230855CE560>,<built-in method strip of str object at 0x00000230855F65B0>,<built-in method strip of str object at 0x00000230855F5230>,<built-in method strip of str object at 0x00000230855F53F0>,<built-in method strip of str object at 0x00000230855CE6F0>
<built-in method strip of str object at 0x00000230855F6570>,<built-in method strip of str object at 0x00000230855F6BB0>,<built-in method strip of str object at 0x00000230855F4B70>,<built-in method strip of str object at 0x00000230855F6BF0>,<built-in method strip of str object at 0x00000230855F64F0>,<built-in method strip of str object at 0x00000230855F5470>,<built-in method strip of str object at 0x00000230855CD750>
<built-in method strip of str object at 0x00000230855F5AB0>,<built-in method strip of str object at 0x00000230855CEAB0>,<built-in method strip of str object at 0x00000230855CEBA0>,<built-in method strip of str object at 0x00000230855F6D30>,<built-in method strip of str object at 0x00000230855F6E70>,<built-in method strip of str object at 0x00000230855F54F0>,<built-in method strip of str object at 0x00000230855CED80>
<built-in method strip of str object at 0x00000230855F5330>,<built-in method strip of str object at 0x00000230855F4D70>,<built-in method strip of str object at 0x00000230855F63B0>,<built-in method strip of str object at 0x00000230855F40B0>,<built-in method strip of str object at 0x00000230855F46F0>,<built-in method strip of str object at 0x00000230855F69B0>,<built-in method strip of str object at 0x00000230855CE060>
<built-in method strip of str object at 0x00000230855F5DB0>,<built-in method strip of str object at 0x00000230855F62F0>,<built-in method strip of str object at 0x00000230855CF0F0>,<built-in method strip of str object at 0x00000230855F7130>,<built-in method strip of str object at 0x00000230855F4630>,<built-in method strip of str object at 0x00000230855F51F0>,<built-in method strip of str object at 0x00000230855CF370>
<built-in method strip of str object at 0x00000230855F52B0>,<built-in method strip of str object at 0x00000230855CF460>,<built-in method strip of str object at 0x00000230855CF550>,<built-in method strip of str object at 0x00000230855F4DF0>,<built-in method strip of str object at 0x00000230855F5830>,<built-in method strip of str object at 0x00000230855F58B0>,<built-in method strip of str object at 0x00000230855F5030>
<built-in method strip of str object at 0x00000230855F49F0>,<built-in method strip of str object at 0x00000230855F7230>,<built-in method strip of str object at 0x00000230855F5EF0>,<built-in method strip of str object at 0x00000230855F7270>,<built-in method strip of str object at 0x00000230855F57F0>,<built-in method strip of str object at 0x00000230855F69F0>,<built-in method strip of str object at 0x00000230855CE6A0>
<built-in method strip of str object at 0x00000230855F61F0>,<built-in method strip of str object at 0x00000230855F73B0>,<built-in method strip of str object at 0x00000230855F74F0>,<built-in method strip of str object at 0x00000230855F5F70>,<built-in method strip of str object at 0x00000230855F5270>,<built-in method strip of str object at 0x00000230855F6970>,<built-in method strip of str object at 0x00000230855CE380>
<built-in method strip of str object at 0x00000230855F47F0>,<built-in method strip of str object at 0x00000230855F4F70>,<built-in method strip of str object at 0x00000230855F7630>,<built-in method strip of str object at 0x00000230855F6DF0>,<built-in method strip of str object at 0x00000230855F5A30>,<built-in method strip of str object at 0x00000230855F42F0>,<built-in method strip of str object at 0x00000230855CECE0>
<built-in method strip of str object at 0x00000230855F5530>,<built-in method strip of str object at 0x00000230855F70B0>,<built-in method strip of str object at 0x00000230855F77B0>,<built-in method strip of str object at 0x00000230855F7670>,<built-in method strip of str object at 0x00000230855F4130>,<built-in method strip of str object at 0x00000230855F5CF0>,<built-in method strip of str object at 0x00000230855CF280>
<built-in method strip of str object at 0x00000230855F5B30>,<built-in method strip of str object at 0x00000230855CFB90>,<built-in method strip of str object at 0x00000230855F5C70>,<built-in method strip of str object at 0x00000230855F7930>,<built-in method strip of str object at 0x00000230855F77F0>,<built-in method strip of str object at 0x00000230855F50F0>,<built-in method strip of str object at 0x00000230855CFBE0>
<built-in method strip of str object at 0x00000230855F4AB0>,<built-in method strip of str object at 0x00000230855F6CF0>,<built-in method strip of str object at 0x00000230855CDA70>,<built-in method strip of str object at 0x00000230855F5A70>,<built-in method strip of str object at 0x00000230855F48B0>,<built-in method strip of str object at 0x00000230855F66F0>,<built-in method strip of str object at 0x00000230855F7070>
<built-in method strip of str object at 0x00000230855F46B0>,<built-in method strip of str object at 0x00000230855F7AB0>,<built-in method strip of str object at 0x0000023085600800>,<built-in method strip of str object at 0x00000230855F7C30>,<built-in method strip of str object at 0x00000230855F73F0>,<built-in method strip of str object at 0x00000230855F6B30>,<built-in method strip of str object at 0x00000230855F7AF0>
<built-in method strip of str object at 0x00000230855F40F0>,<built-in method strip of str object at 0x0000023085600BC0>,<built-in method strip of str object at 0x00000230855811D0>,<built-in method strip of str object at 0x00000230855F5E70>,<built-in method strip of str object at 0x00000230855F7D70>,<built-in method strip of str object at 0x00000230855F44F0>,<built-in method strip of str object at 0x0000023085600DF0>
<built-in method strip of str object at 0x00000230855F47B0>,<built-in method strip of str object at 0x0000023085600EE0>,<built-in method strip of str object at 0x00000230855F5130>,<built-in method strip of str object at 0x00000230855F6370>,<built-in method strip of str object at 0x00000230855F42B0>,<built-in method strip of str object at 0x00000230855F7EF0>,<built-in method strip of str object at 0x00000230856010C0>
<built-in method strip of str object at 0x00000230855F70F0>,<built-in method strip of str object at 0x00000230855F6E30>,<built-in method strip of str object at 0x00000230855F6C30>,<built-in method strip of str object at 0x00000230855F4030>,<built-in method strip of str object at 0x00000230855F5B70>,<built-in method strip of str object at 0x00000230855F4C30>,<built-in method strip of str object at 0x00000230855F4BF0>
<built-in method strip of str object at 0x00000230855F7430>,<built-in method strip of str object at 0x0000023085601430>,<built-in method strip of str object at 0x00000230855F6CB0>,<built-in method strip of str object at 0x00000230855F45F0>,<built-in method strip of str object at 0x00000230855F6D70>,<built-in method strip of str object at 0x00000230855F6730>,<built-in method strip of str object at 0x0000023085601700>
<built-in method strip of str object at 0x00000230855F5DF0>,<built-in method strip of str object at 0x00000230855F6430>,<built-in method strip of str object at 0x00000230855F4730>,<built-in method strip of str object at 0x00000230855F7BF0>,<built-in method strip of str object at 0x00000230855F5C30>,<built-in method strip of str object at 0x00000230855F4CF0>,<built-in method strip of str object at 0x00000230856016B0>
<built-in method strip of str object at 0x00000230855F43B0>,<built-in method strip of str object at 0x00000230855F4970>,<built-in method strip of str object at 0x00000230855F59B0>,<built-in method strip of str object at 0x00000230855F7370>,<built-in method strip of str object at 0x00000230855F4370>,<built-in method strip of str object at 0x00000230855F78F0>,<built-in method strip of str object at 0x0000023085600300>
<built-in method strip of str object at 0x00000230855F74B0>,<built-in method strip of str object at 0x00000230855F55B0>,<built-in method strip of str object at 0x00000230855F5CB0>,<built-in method strip of str object at 0x00000230855F71F0>,<built-in method strip of str object at 0x00000230855F71B0>,<built-in method strip of str object at 0x00000230855F7DF0>,<built-in method strip of str object at 0x00000230855F6FF0>
<built-in method strip of str object at 0x00000230855F4CB0>,<built-in method strip of str object at 0x00000230855F7970>,<built-in method strip of str object at 0x00000230855F4E30>,<built-in method strip of str object at 0x00000230855F6670>,<built-in method strip of str object at 0x00000230855F4870>,<built-in method strip of str object at 0x00000230855F41F0>,<built-in method strip of str object at 0x0000023085600350>
<built-in method strip of str object at 0x00000230855F6770>,<built-in method strip of str object at 0x00000230856022E0>,<built-in method strip of str object at 0x00000230855F7170>,<built-in method strip of str object at 0x00000230855F6230>,<built-in method strip of str object at 0x00000230855F6FB0>,<built-in method strip of str object at 0x00000230855F4570>,<built-in method strip of str object at 0x00000230856024C0>
<built-in method strip of str object at 0x00000230855F6270>,<built-in method strip of str object at 0x00000230855F4D30>,<built-in method strip of str object at 0x0000023085602600>,<built-in method strip of str object at 0x00000230855F5870>,<built-in method strip of str object at 0x00000230855F7EB0>,<built-in method strip of str object at 0x00000230855F4EF0>,<built-in method strip of str object at 0x0000023085602790>
<built-in method strip of str object at 0x00000230855F75B0>,<built-in method strip of str object at 0x00000230855F5FF0>,<built-in method strip of str object at 0x00000230855F57B0>,<built-in method strip of str object at 0x00000230855F50B0>,<built-in method strip of str object at 0x00000230855F44B0>,<built-in method strip of str object at 0x00000230855F7DB0>,<built-in method strip of str object at 0x00000230856000D0>
<built-in method strip of str object at 0x00000230855F4530>,<built-in method strip of str object at 0x0000023085602B50>,<built-in method strip of str object at 0x0000023085602C40>,<built-in method strip of str object at 0x00000230855F58F0>,<built-in method strip of str object at 0x00000230855F65F0>,<built-in method strip of str object at 0x00000230855F72B0>,<built-in method strip of str object at 0x0000023085602E20>
<built-in method strip of str object at 0x00000230855F63F0>,<built-in method strip of str object at 0x00000230855F5BB0>,<built-in method strip of str object at 0x00000230855F68B0>,<built-in method strip of str object at 0x00000230855F5670>,<built-in method strip of str object at 0x00000230855F4830>,<built-in method strip of str object at 0x00000230855F51B0>,<built-in method strip of str object at 0x0000023085600120>
<built-in method strip of str object at 0x00000230855F5170>,<built-in method strip of str object at 0x00000230855F6130>,<built-in method strip of str object at 0x00000230855F6170>,<built-in method strip of str object at 0x00000230855F5070>,<built-in method strip of str object at 0x00000230855F45B0>,<built-in method strip of str object at 0x00000230855F7B30>,<built-in method strip of str object at 0x0000023085601B60>
<built-in method strip of str object at 0x00000230855F4230>,<built-in method strip of str object at 0x00000230855F7830>,<built-in method strip of str object at 0x00000230855F6470>,<built-in method strip of str object at 0x00000230855F4DB0>,<built-in method strip of str object at 0x00000230855F7BB0>,<built-in method strip of str object at 0x00000230855F7A30>,<built-in method strip of str object at 0x00000230856029C0>
<built-in method strip of str object at 0x00000230855F6630>,<built-in method strip of str object at 0x00000230855F7530>,<built-in method strip of str object at 0x00000230855F6930>,<built-in method strip of str object at 0x00000230855F61B0>,<built-in method strip of str object at 0x00000230855F6830>,<built-in method strip of str object at 0x00000230855F5730>,<built-in method strip of str object at 0x0000023085600170>
